Column 1,Satz,noun,polarity_noun,adjective,polarity_adj,valence_rating_sent
80,Der Kumpan ist geduldig.,Kumpan,positiv,geduldig,positiv,6
81,Der Pfau ist satt.,Pfau,positiv,satt,positiv,4
82,Der Spielkamerad ist beschwingt.,Spielkamerad,positiv,beschwingt,positiv,6
83,Das Kindermädchen ist standhaft.,Kindermädchen,positiv,standhaft,positiv,6
84,Der Sonntag ist gemütlich.,Sonntag,positiv,gemütlich,positiv,6
85,Der Bruder ist ehrlich.,Bruder,positiv,ehrlich,positiv,6
86,Der Bräutigam ist höflich.,Bräutigam,positiv,höflich,positiv,5
87,Die Laube ist elegant.,Laube,positiv,elegant,positiv,5
88,Die Ananas ist weich.,Ananas,positiv,weich,positiv,6
89,Der Schwan ist jung.,Schwan,positiv,jung,positiv,6
90,Der Helfer ist selbstsicher.,Helfer,positiv,selbstsicher,positiv,8
91,Der Enkel ist anständig.,Enkel,positiv,anständig,positiv,6
92,Der Sponsor ist gescheit.,Sponsor,positiv,gescheit,positiv,6
93,Die Birne ist hell.,Birne,positiv,hell,positiv,6
94,Die Wespe ist aktiv.,Wespe,negativ,aktiv,positiv,7
95,Die Hure ist amüsant.,Hure,negativ,amüsant,positiv,4
96,Die Anstalt ist berühmt.,Anstalt,negativ,berühmt,positiv,7
97,Die Rache ist süß.,Rache,negativ,süß,positiv,4
98,Der Häftling ist gutmütig.,Häftling,negativ,gutmütig,positiv,5
99,Der Müll ist legal.,Müll,negativ,legal,positiv,5
100,Der Verbrecher ist angenehm.,Verbrecher,negativ,angenehm,positiv,3
101,Der Friedhof ist bildhübsch.,Friedhof,negativ,bildhübsch,positiv,5
102,Der Kanzler ist beliebt.,Kanzler,negativ,beliebt,positiv,6
103,Der Verräter ist friedlich.,Verräter,negativ,friedlich,positiv,5
104,Der Teufel ist humorvoll.,Teufel,negativ,humorvoll,positiv,3
105,Der Täter ist pfiffig.,Täter,negativ,pfiffig,positiv,5
106,Die Ehebrecherin ist sinnlich.,Ehebrecherin,negativ,sinnlich,positiv,5
107,Der Verweis ist super.,Verweis,negativ,super,positiv,5
108,Der Henker ist barmherzig.,Henker,negativ,barmherzig,positiv,6
109,Der Faschist ist zuverlässig.,Faschist,negativ,zuverlässig,positiv,2
110,Die Droge ist anregend.,Droge,negativ,anregend,positiv,7
111,Der Faulenzer ist lustig.,Faulenzer,negativ,lustig,positiv,6
112,Das Flittchen ist weise.,Flittchen,negativ,weise,positiv,4
113,Der Krieg ist toll.,Krieg,negativ,toll,positiv,1
114,Der Rollstuhl ist phantastisch.,Rollstuhl,negativ,phantastisch,positiv,5
115,Der Führer ist mitfühlend.,Führer,negativ,mitfühlend,positiv,4
116,Der Schmerz ist reizvoll.,Schmerz,negativ,reizvoll,positiv,5
117,Die Bestie ist kräftig.,Bestie,negativ,kräftig,positiv,2
118,Der Einbrecher ist schlau.,Einbrecher,negativ,schlau,positiv,2
119,Der Angreifer ist klug.,Angreifer,negativ,klug,positiv,3
120,Die Behörde ist loyal.,Behörde,negativ,loyal,positiv,3
121,Der Sklave ist muskulös.,Sklave,negativ,muskulös,positiv,3
122,Der Tyrann ist anmutig.,Tyrann,negativ,anmutig,positiv,3
123,Das Unkraut ist robust.,Unkraut,negativ,robust,positiv,5
124,Der Dieb ist furchtlos.,Dieb,negativ,furchtlos,positiv,3
125,Der Gegner ist grandios.,Gegner,negativ,grandios,positiv,5
126,Die Prahlerei ist romantisch.,Prahlerei,negativ,romantisch,positiv,5
127,Der Alkoholiker ist tolerant.,Alkoholiker,negativ,tolerant,positiv,7
128,Das Altenheim ist vertraut.,Altenheim,negativ,vertraut,positiv,7
129,Der Räuber ist fleißig.,Räuber,negativ,fleißig,positiv,4
130,Die Schlägerei ist aufregend.,Schlägerei,negativ,aufregend,positiv,3
131,Der Idiot ist ehrlich.,Idiot,negativ,ehrlich,positiv,7
132,Der Funktionär ist attraktiv.,Funktionär,negativ,attraktiv,positiv,7
133,Der Beamte ist begabt.,Beamte,negativ,begabt,positiv,4
134,Der General ist begeistert.,General,negativ,begeistert,positiv,4
135,Der Bettler ist dankbar.,Bettler,negativ,dankbar,positiv,7
136,Der Soldat ist beweglich.,Soldat,negativ,beweglich,positiv,4
137,Der Diktator ist erfolgreich.,Diktator,negativ,erfolgreich,positiv,4
138,Der Säufer ist fröhlich.,Säufer,negativ,fröhlich,positiv,4
139,Die Witwe ist großzügig.,Witwe,negativ,großzügig,positiv,5
140,Die Armee ist heiter.,Armee,negativ,heiter,positiv,6
141,Der Sträfling ist herzlich.,Sträfling,negativ,herzlich,positiv,6
142,Der Spinner ist kreativ.,Spinner,negativ,kreativ,positiv,6
143,Der Zahnarzt ist pünktlich.,Zahnarzt,negativ,pünktlich,positiv,7
144,Der Patient ist selbstbewusst.,Patient,negativ,selbstbewusst,positiv,5
145,Der Angeklagte ist verliebt.,Angeklagte,negativ,verliebt,positiv,7
146,Der Sarg ist wertvoll.,Sarg,negativ,wertvoll,positiv,5
147,Das Mahnmal ist schick.,Mahnmal,negativ,schick,positiv,5
148,Die Rechnung ist preisgünstig.,Rechnung,negativ,preisgünstig,positiv,7
149,Der Revolver ist nützlich.,Revolver,negativ,nützlich,positiv,4
150,Der Mörder ist perfekt.,Mörder,negativ,perfekt,positiv,2
151,Der Offizier ist reich.,Offizier,negativ,reich,positiv,5
152,Der Feigling ist intelligent.,Feigling,negativ,intelligent,positiv,3
153,Die Geisel ist optimistisch.,Geisel,negativ,optimistisch,positiv,6
154,Das Grab ist interessant.,Grab,negativ,interessant,positiv,5
155,Die Kralle ist makellos.,Kralle,negativ,makellos,positiv,4
156,Der Abfall ist optimal.,Abfall,negativ,optimal,positiv,4
157,Das Begräbnis ist wunderschön.,Begräbnis,negativ,wunderschön,positiv,5
158,Die Beerdigung ist ehrwürdig.,Beerdigung,negativ,ehrwürdig,positiv,6
159,Der Schrott ist silbern.,Schrott,negativ,silbern,positiv,4
160,Die Waffe ist entzückend.,Waffe,negativ,entzückend,positiv,4
161,Die Mörderin ist entspannt.,Mörderin,negativ,entspannt,positiv,5
162,Der Straftäter ist gebildet.,Straftäter,negativ,gebildet,positiv,5
163,Die Pistole ist praktisch.,Pistole,negativ,praktisch,positiv,5
164,Der Gefangene ist verlässlich.,Gefangener,negativ,verlässlich,positiv,5
165,Der Flüchtling ist erleichtert.,Flüchtling,negativ,erleichtert,positiv,8
166,Der Fälscher ist erfreut.,Fälscher,negativ,erfreut,positiv,4
167,Das Pflegeheim ist akkurat.,Pflegeheim,negativ,akkurat,positiv,7
168,Die Rivalin ist lieb.,Rivalin,negativ,lieb,positiv,4
169,Der Besserwisser ist einfühlsam.,Besserwisser,negativ,einfühlsam,positiv,4
170,Der Lügner ist gesprächig.,Lügner,negativ,gesprächig,positiv,3
171,Der Schurke ist gerührt.,Schurke,negativ,gerührt,positiv,5
172,Der Werwolf ist lebendig.,Werwolf,negativ,lebendig,positiv,2
173,Der Vandale ist witzig.,Raufbold,negativ,witzig,positiv,5
174,Der Folterer ist sportlich.,Folterer,negativ,sportlich,positiv,2
175,Der Nazi ist geduldig.,Nazi,negativ,geduldig,positiv,2
176,Der Erzfeind ist satt.,Erzfeind,negativ,satt,positiv,5
177,Der Komplize ist beschwingt.,Komplize,negativ,beschwingt,positiv,5
178,Der Schlägertyp ist standhaft.,Schlägertyp,negativ,standhaft,positiv,5
179,Das Unwetter ist gemütlich.,Unwetter,negativ,gemütlich,positiv,5
180,Die Sünderin ist ehrlich.,Sünderin,negativ,ehrlich,positiv,6
181,Der Kinderschänder ist höflich.,Kinderschänder,negativ,höflich,positiv,2
182,Die Säge ist elegant.,Säge,negativ,elegant,positiv,6
183,Das Maul ist weich.,Maul,negativ,weich,positiv,2
184,Der Angeber ist jung.,Angeber,negativ,jung,positiv,1
185,Das Luder ist selbstsicher.,Luder,negativ,selbstsicher,positiv,5
186,Der Rassist ist anständig.,Rassist,negativ,anständig,positiv,4
187,Der Prahler ist gescheit.,Prahler,negativ,gescheit,positiv,4
188,Die Kotze ist hell.,Kotze,negativ,hell,positiv,1
189,Die Biene ist bedrohlich.,Biene,positiv,bedrohlich,negativ,3
190,Die Brautjungfer ist ängstlich.,Brautjungfer,positiv,ängstlich,negativ,4
191,Der Garten ist öde.,Garten,positiv,öde,negativ,1
192,Der Gewinn ist jämmerlich.,Gewinn,positiv,jämmerlich,negativ,1
193,Der Künstler ist asozial.,Künstler,positiv,asozial,negativ,1
194,Die Feier ist schlecht.,Feier,positiv,schlecht,negativ,2
195,Der Familienmensch ist pervers.,Familienmensch,positiv,pervers,negativ,1
196,Der Palast ist verwahrlost.,Palast,positiv,verwahrlost,negativ,2
197,Die Studentin ist hartherzig.,Studentin,positiv,hartherzig,negativ,2
198,Das Fohlen ist hässlich.,Fohlen,positiv,hässlich,negativ,3
199,Der Genießer ist fies.,Genießer,positiv,fies,negativ,3
200,Die Freundin ist unangenehm.,Freundin,positiv,unangenehm,negativ,1
201,Die Geliebte ist bösartig.,Geliebte,positiv,bösartig,negativ,1
202,Das Geschenk ist schrecklich.,Geschenk,positiv,schrecklich,negativ,2
203,Der Gentleman ist aggressiv.,Gentleman,positiv,aggressiv,negativ,1
204,Der Freund ist unbeliebt.,Freund,positiv,unbeliebt,negativ,5
205,Die Gitarre ist furchtbar.,Gitarre,positiv,furchtbar,negativ,3
206,Der Gewinner ist rücksichtslos.,Gewinner,positiv,rücksichtslos,negativ,1
207,Das Genie ist traurig.,Genie,positiv,traurig,negativ,4
208,Die Wippe ist nutzlos.,Wippe,positiv,nutzlos,negativ,2
209,Der Park ist ätzend.,Park,positiv,ätzend,negativ,2
210,Der Kumpel ist selbstgefällig.,Kumpel,positiv,selbstgefälli,negativ,3
211,Das Frühstück ist ekelhaft.,Frühstück,positiv,ekelhaft,negativ,5
212,Das Enkelkind ist doof.,Enkelkind,positiv,doof,negativ,1
213,Der Großvater ist herzlos.,Großvater,positiv,herzlos,negativ,1
214,Der Opa ist einsam.,Opa,positiv,einsam,negativ,3
215,Die Familie ist korrupt.,Familie,positiv,korrupt,negativ,2
216,Der Partner ist humorlos.,Partner,positiv,humorlos,negativ,1
217,Der Gesang ist peinlich.,Gesang,positiv,peinlich,negativ,1
218,Die Linde ist tot.,Linde,positiv,tot,negativ,2
219,Der Filmstar ist kriminell.,Filmstar,positiv,kriminell,negativ,1
220,Die Fee ist wehrlos.,Fee,positiv,wehrlos,negativ,2
221,Der Kuss ist kläglich.,Kuss,positiv,kläglich,negativ,2
222,Der Athlet ist feige.,Athlet,positiv,feige,negativ,3
223,Das Hobby ist freudlos.,Hobby,positiv,freudlos,negativ,2
224,Der Denker ist faul.,Denker,positiv,faul,negativ,5
225,Die Hochzeit ist grässlich.,Hochzeit,positiv,grässlich,negativ,2
226,Der Tänzer ist gereizt.,Tänzer,positiv,gereizt,negativ,4
227,Der Held ist dämlich.,Held,positiv,dämlich,negativ,3
228,Der Dichter ist lustlos.,Dichter,positiv,lustlos,negativ,4
229,Der Bäcker ist enttäuscht.,Bäcker,positiv,enttäuscht,negativ,2
230,Die Kellnerin ist geizig.,Kellnerin,positiv,geizig,negativ,3
231,Die Ballerina ist dick.,Ballerina,positiv,dick,negativ,4
232,Der Abiturient ist ratlos.,Abiturient,positiv,ratlos,negativ,5
233,Der Traum ist blutig.,Traum,positiv,blutig,negativ,2
234,Die Braut ist undankbar.,Braut,positiv,undankbar,negativ,2
235,Der Papagei ist reizbar.,Papagei,positiv,reizbar,negativ,5
236,Der Mentor ist arrogant.,Mentor,positiv,arrogant,negativ,5
237,Der Brief ist widerlich.,Brief,positiv,widerlich,negativ,2
238,Der Kinderarzt ist hektisch.,Kinderarzt,positiv,hektisch,negativ,4
239,Die Ehefrau ist streng.,Ehefrau,positiv,streng,negativ,4
240,Der Flamingo ist krank.,Flamingo,positiv,krank,negativ,6
241,Die Villa ist ranzig.,Villa,positiv,ranzig,negativ,1
242,Die Disco ist erbärmlich.,Disco,positiv,erbärmlich,negativ,1
243,Die Pizzeria ist schlimm.,Pizzeria,positiv,schlimm,negativ,4
244,Die Kamera ist mies.,Kamera,positiv,mies,negativ,3
245,Das Fahrrad ist grauenvoll.,Fahrrad,positiv,grauenvoll,negativ,2
246,Der Sieger ist habgierig.,Sieger,positiv,habgierig,negativ,5
247,Der Forscher ist gierig.,Forscher,positiv,gierig,negativ,2
248,Der Retter ist unzuverlässig.,Retter,positiv,unzuverlässig,negativ,3
249,Der Gastgeber ist dumm.,Gastgeber,positiv,dumm,negativ,2
250,Die Blume ist vermodert.,Blume,positiv,vermodert,negativ,4
251,Die Orchidee ist verfault.,Orchidee,positiv,verfault,negativ,2
252,Das Parfüm ist giftig.,Parfüm,positiv,giftig,negativ,4
253,Der Geburtstag ist dekadent.,Geburtstag,positiv,dekadent,negativ,5
254,Die Hochzeitsfeier ist lausig.,Hochzeitsfeier,positiv,lausig,negativ,1
255,Der Schatz ist schäbig.,Schatz,positiv,schäbig,negativ,2
256,Die Seide ist teuer.,Seide,positiv,teuer,negativ,4
257,Der Champion ist infiziert.,Champion,positiv,infiziert,negativ,2
258,Der Hausmann ist zickig.,Hausmann,positiv,zickig,negativ,3
259,Der Pullover ist wertlos.,Pullover,positiv,wertlos,negativ,3
260,Der Schauspieler ist besorgt.,Schauspieler,positiv,besorgt,negativ,2
261,Der Urlauber ist bedrückt.,Urlauber,positiv,bedrückt,negativ,4
262,Der Profi ist beunruhigt.,Profi,positiv,beunruhigt,negativ,2
263,Das Hotel ist unordentlich.,Hotel,positiv,unordentlich,negativ,3
264,Der Heiler ist ignorant.,Heiler,positiv,ignorant,negativ,3
265,Der Zauberer ist nervig.,Zauberer,positiv,nervig,negativ,1
266,Die Heldin ist entsetzt.,Heldin,positiv,entsetzt,negativ,4
267,Der Leopard ist rücksichtslos.,Leopard,positiv,rücksichtslos,negativ,3
268,Der Verehrer ist hochnäsig.,Verehrer,positiv,hochnäsig,negativ,3
269,Der Schriftsteller ist gehässig.,Schriftsteller,positiv,gehässig,negativ,2
270,Der Kumpan ist verbittert.,Kumpan,positiv,verbittert,negativ,2
271,Der Pfau ist lästig.,Pfau,positiv,lästig,negativ,3
272,Der Spielkamerad ist verlogen.,Spielkamerad,positiv,verlogen,negativ,4
273,Das Kindermädchen ist intrigant.,Kindermädchen,positiv,intrigant,negativ,1
274,Der Sonntag ist trist.,Sonntag,positiv,trist,negativ,3
275,Der Bruder ist ungebildet.,Bruder,positiv,ungebildet,negativ,3
276,Der Bräutigam ist dement.,Bräutigam,positiv,dement,negativ,4
277,Die Laube ist dreckig.,Laube,positiv,dreckig,negativ,2
278,Die Ananas ist anormal.,Ananas,positiv,anormal,negativ,5
279,Der Schwan ist hilflos.,Schwan,positiv,hilflos,negativ,2
280,Der Helfer ist pickelig.,Helfer,positiv,pickelig,negativ,6
281,Der Enkel ist gekränkt.,Enkel,positiv,gekränkt,negativ,3
282,Der Sponsor ist allein.,Sponsor,positiv,allein,negativ,4
283,Die Birne ist toxisch.,Birne,positiv,toxisch,negativ,1
284,Die Wespe ist bedrohlich.,Wespe,negativ,bedrohlich,negativ,2
285,Die Hure ist ängstlich.,Hure,negativ,ängstlich,negativ,2
286,Die Anstalt ist öde.,Anstalt,negativ,öde,negativ,2
287,Der Rache ist jämmerlich.,Rache,negativ,jämmerlich,negativ,2
288,Der Häftling ist asozial.,Häftling,negativ,asozial,negativ,4
289,Der Müll ist schlecht.,Müll,negativ,schlecht,negativ,2
290,Der Verbrecher ist pervers.,Verbrecher,negativ,pervers,negativ,6
291,Der Friedhof ist verwahrlost.,Friedhof,negativ,verwahrlost,negativ,2
292,Der Kanzler ist hartherzig.,Kanzler,negativ,hartherzig,negativ,6
293,Der Verräter ist hässlich.,Verräter,negativ,hässlich,negativ,2
294,Der Teufel ist fies.,Teufel,negativ,fies,negativ,3
295,Der Täter ist unangenehm.,Täter,negativ,unangenehm,negativ,2
296,Die Ehebrecherin ist bösartig.,Ehebrecherin,negativ,bösartig,negativ,6
297,Das Verweis ist schrecklich.,Verweis,negativ,schrecklich,negativ,2
298,Der Henker ist aggressiv.,Henker,negativ,aggressiv,negativ,5
299,Der Faschist ist unbeliebt.,Faschist,negativ,unbeliebt,negativ,3
300,Die Droge ist furchtbar.,Droge,negativ,furchtbar,negativ,4
301,Der Faulenzer ist rücksichtslos.,Faulenzer,negativ,rücksichtslos,negativ,1
302,Das Flittchen ist traurig.,Flittchen,negativ,traurig,negativ,2
303,Der Krieg ist nutzlos.,Krieg,negativ,nutzlos,negativ,5
304,Der Rollstuhl ist ätzend.,Rollstuhl,negativ,ätzend,negativ,2
305,Der Führer ist selbstgefällig.,Führer,negativ,selbstgefälli,negativ,2
306,Der Schmerz ist ekelhaft.,Schmerz,negativ,ekelhaft,negativ,1
307,Die Bestie ist doof.,Bestie,negativ,doof,negativ,3
308,Der Einbrecher ist herzlos.,Einbrecher,negativ,herzlos,negativ,1
309,Der Angreifer ist einsam.,Angreifer,negativ,einsam,negativ,3
310,Die Behörde ist korrupt.,Behörde,negativ,korrupt,negativ,2
311,Der Sklave ist humorlos.,Sklave,negativ,humorlos,negativ,5
312,Der Tyrann ist peinlich.,Tyrann,negativ,peinlich,negativ,5
313,Das Unkraut ist tot.,Unkraut,negativ,tot,negativ,3
314,Der Dieb ist kriminell.,Dieb,negativ,kriminell,negativ,3
315,Der Gegner ist wehrlos.,Gegner,negativ,wehrlos,negativ,1
316,Die Prahlerei ist kläglich.,Prahlerei,negativ,kläglich,negativ,2
317,Der Alkoholiker ist feige.,Alkoholiker,negativ,feige,negativ,2
318,Das Altenheim ist freudlos.,Altenheim,negativ,freudlos,negativ,2
319,Der Räuber ist faul.,Räuber,negativ,faul,negativ,5
320,Die Schlägerei ist grässlich.,Schlägerei,negativ,grässlich,negativ,2
321,Der Idiot ist gereizt.,Idiot,negativ,gereizt,negativ,2
322,Der Funktionär ist dämlich.,Funktionär,negativ,dämlich,negativ,4
323,Der Beamte ist lustlos.,Beamte,negativ,lustlos,negativ,1
324,Der General ist enttäuscht.,General,negativ,enttäuscht,negativ,4
325,Der Bettler ist geizig.,Bettler,negativ,geizig,negativ,3
326,Der Soldat ist dick.,Soldat,negativ,dick,negativ,3
327,Der Diktator ist ratlos.,Diktator,negativ,ratlos,negativ,2
328,Der Säufer ist blutig.,Säufer,negativ,blutig,negativ,2
329,Die Witwe ist undankbar.,Witwe,negativ,undankbar,negativ,2
330,Die Armee ist reizbar.,Armee,negativ,reizbar,negativ,4
331,Der Sträfling ist arrogant.,Sträfling,negativ,arrogant,negativ,3
332,Der Spinner ist widerlich.,Spinner,negativ,widerlich,negativ,3
333,Der Zahnarzt ist hektisch.,Zahnarzt,negativ,hektisch,negativ,2
334,Der Patient ist streng.,Patient,negativ,streng,negativ,2
335,Der Angeklagte ist krank.,Angeklagte,negativ,krank,negativ,3
336,Die Angst ist erbärmlich.,Angst,negativ,erbärmlich,negativ,4
337,Das Mahnmal ist schlimm.,Mahnmal,negativ,schlimm,negativ,1
338,Die Rechnung ist mies.,Rechnung,negativ,mies,negativ,2
339,Der Revolver ist grauenvoll.,Revolver,negativ,grauenvoll,negativ,1
340,Der Mörder ist habgierig.,Mörder,negativ,habgierig,negativ,1
341,Der Offizier ist gierig.,Offizier,negativ,gierig,negativ,1
342,Der Feigling ist unzuverlässig.,Feigling,negativ,unzuverlässig,negativ,2
343,Die Geisel ist dumm.,Geisel,negativ,dumm,negativ,2
344,Das Grab ist vermodert.,Grab,negativ,vermodert,negativ,2
345,Die Kralle ist verfault.,Kralle,negativ,verfault,negativ,3
346,Der Abfall ist giftig.,Abfall,negativ,giftig,negativ,1
347,Das Begräbnis ist dekadent.,Begräbnis,negativ,dekadent,negativ,3
348,Die Beerdigung ist lausig.,Beerdigung,negativ,lausig,negativ,2
349,Der Schrott ist schäbig.,Schrott,negativ,schäbig,negativ,4
350,Die Waffe ist teuer.,Waffe,negativ,teuer,negativ,4
351,Die Mörderin ist infiziert.,Mörderin,negativ,infiziert,negativ,3
352,Der Straftäter ist zickig.,Straftäter,negativ,zickig,negativ,3
353,Die Pistole ist wertlos.,Pistole,negativ,wertlos,negativ,6
354,Der Gefangene ist besorgt.,Gefangener,negativ,besorgt,negativ,2
355,Der Flüchtling ist bedrückt.,Flüchtling,negativ,bedrückt,negativ,4
356,Der Fälscher ist beunruhigt.,Fälscher,negativ,beunruhigt,negativ,3
357,Das Pflegeheim ist unordentlich,Pflegeheim,negativ,unordentlich,negativ,5
358,Die Rivalin ist nachtragend.,Rivalin,negativ,nachtragend,negativ,1
359,Der Besserwisser ist ignorant.,Besserwisser,negativ,ignorant,negativ,3
360,Der Lügner ist nervig.,Lügner,negativ,nervig,negativ,1
361,Der Schurke ist entsetzt.,Schurke,negativ,entsetzt,negativ,6
362,Der Werwolf ist rücksichtslos.,Werwolf,negativ,rücksichtslos,negativ,1
363,Der Vandale ist hochnäsig.,Vandale,negativ,hochnäsig,negativ,4
364,Der Folterer ist gehässig.,Folterer,negativ,gehässig,negativ,1
365,Der Nazi ist verbittert.,Nazi,negativ,verbittert,negativ,5
366,Der Erzfeind ist lästig.,Erzfeind,negativ,lästig,negativ,1
367,Der Komplize ist verlogen.,Komplize,negativ,verlogen,negativ,2
368,Der Schlägertyp ist intrigant.,Schlägertyp,negativ,intrigant,negativ,1
369,Das Unwetter ist trist.,Unwetter,negativ,trist,negativ,3
370,Die Sünderin ist ungebildet.,Sünderin,negativ,ungebildet,negativ,3
371,Der Kinderschänder ist dement.,Kinderschänder,negativ,dement,negativ,3
372,Der Angeber ist hilflos.,Angeber,negativ,hilflos,negativ,6
373,Das Luder ist pickelig.,Luder,negativ,pickelig,negativ,3
374,Der Rassist ist gekränkt.,Rassist,negativ,gekränkt,negativ,4
375,Der Prahler ist allein.,Prahler,negativ,allein,negativ,3
